Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
so-for-teams,175399,6,0,6,152,164,176,224,59,2177,5726,14,1418,147,1701,303,2582,7653,42,2433,1.17,240,1025,181
so-for-teams-enterprise,174157,5,0,5,127,130,154,193,35,2253,5803,13,1435,170,1737,283,2643,7962,35,2749,1.53,141,519,69
so-for-teams-business,72264,1,0,1,87,107,116,152,25,970,2404,6,630,73,755,94,1142,3160,17,1116,1.19,57,241,49
sales-engineering,36922,19,22,22,55,93,92,132,14,596,1440,1,300,64,419,71,694,1943,14,539,1.16,38,197,23
talent,36132,2,0,2,35,46,52,74,9,755,1432,5,368,60,552,176,806,1779,9,592,1.66,47,48,13
core-q-and-a,28273,0,0,0,45,46,70,84,8,382,1048,2,299,21,282,98,447,1335,2,431,3.19,15,132,17
community,26998,10,0,10,58,54,61,86,5,319,945,2,328,28,221,115,413,1247,4,357,6.25,10,11,6
product-support,25152,1,0,1,64,74,90,118,8,458,712,9,221,32,373,116,477,1036,4,343,1.78,28,60,14
sales-process,23247,0,0,0,45,53,56,94,8,279,574,0,100,18,218,95,325,791,6,193,0.62,15,77,12
data-team-request,22155,0,0,0,35,26,47,63,0,284,706,2,434,18,165,5,298,711,4,356,165.06,0,0,0
customer-success,20445,0,0,0,59,82,82,122,10,298,705,1,154,24,204,39,367,1057,4,254,1.07,21,135,23
it-service-desk,17939,1,0,1,38,44,46,77,3,191,422,2,38,6,158,84,208,610,6,99,0.7,25,64,11
public-platform,17498,0,0,0,57,56,62,91,8,281,592,1,231,22,201,81,321,865,4,294,2.19,37,75,6
product-marketing,15631,9,0,9,42,55,56,87,3,178,460,6,116,29,102,25,213,615,3,151,1.65,33,75,30
sales,15328,0,0,0,48,62,69,106,5,229,494,0,91,21,151,53,289,698,4,217,0.76,9,27,4
community-management-team-docs,14985,7,0,7,17,22,19,28,3,189,474,1,167,7,147,110,223,516,0,153,20.15,9,12,4
development,13007,0,0,0,29,41,34,63,11,156,411,0,59,9,124,60,193,521,1,118,2.21,19,82,8
marketing,12874,0,0,0,54,40,57,91,5,180,447,3,80,11,131,47,235,622,5,161,0.65,18,49,18
teams-sales,12481,0,0,0,41,44,50,79,8,164,319,0,78,18,112,23,185,433,2,96,1.07,27,90,50
product,12399,1,0,1,39,81,76,118,6,128,378,2,94,10,81,9,258,603,6,325,2.08,8,72,13
people-team,12159,3,0,3,41,49,44,83,8,161,443,0,53,10,129,50,178,526,5,89,0.98,14,50,7
so-advertising,12155,0,0,0,26,24,30,45,6,193,292,0,74,17,102,64,204,378,1,134,3.71,11,16,2
salesforce,11387,0,0,0,39,34,42,69,5,175,305,0,50,13,132,70,187,393,2,103,1.21,10,29,0
enterprise-api,10365,0,0,0,43,36,53,69,6,144,331,0,83,12,102,6,162,422,0,167,1.82,9,58,7
employee,10277,0,0,0,37,53,40,80,3,89,352,0,47,3,66,29,135,522,7,111,2.35,4,29,1
sre,10260,0,0,0,27,35,48,66,8,148,254,0,102,14,107,26,169,387,4,183,1.63,33,40,10
customer-success-teams,9932,6,0,6,34,55,54,78,5,148,400,0,70,5,117,13,186,542,7,123,1.67,14,84,8
proof-of-value,9777,0,22,22,30,33,37,58,6,103,252,0,48,7,73,12,127,361,5,119,0.76,10,71,12
teams-features,9685,0,0,0,37,39,49,74,7,130,358,0,106,13,96,7,141,418,0,167,1.84,26,88,48
adoption,9621,0,45,45,25,42,42,60,6,98,473,1,63,4,64,12,141,584,2,101,2.8,14,65,4
security,9188,0,0,0,45,43,59,81,3,142,336,1,81,9,91,23,162,440,2,177,3.07,3,9,0
moderators,8868,0,0,0,38,37,42,61,4,118,308,0,110,10,87,30,135,354,0,141,3.97,5,6,1
tags,8641,0,0,0,60,47,63,89,3,156,429,0,120,11,124,14,179,562,1,256,1.02,4,6,2
billing,8589,2,0,2,36,31,30,57,3,136,259,0,42,11,111,34,141,316,1,108,1.83,3,16,2
so-for-enterprise-on-premises,8492,0,0,0,43,43,53,76,5,115,244,3,88,9,99,18,128,352,1,128,2.11,6,19,1
slack-integration,8410,1,0,1,53,45,53,77,7,146,333,0,77,14,115,21,151,404,0,120,1.64,10,39,11
integrations,8401,0,0,0,35,34,42,66,6,128,269,0,74,14,98,10,141,348,2,137,3.13,7,31,13
competitor,8142,1,0,1,29,34,34,56,5,71,260,0,71,4,51,9,122,459,1,72,2.92,31,101,10
dev-environment,8047,0,0,0,25,25,26,42,4,79,272,0,41,6,59,24,99,337,2,90,0.82,5,34,6
