Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
so-for-teams,184420,7,0,7,151,165,175,226,60,2258,5981,14,1459,153,1764,316,2679,7927,42,2513,1.18,250,1082,191
so-for-teams-enterprise,182379,5,0,5,128,134,152,194,36,2336,6059,14,1478,173,1807,305,2743,8265,37,2829,1.54,146,544,73
so-for-teams-business,75519,2,0,2,83,106,115,151,28,992,2476,6,644,71,774,99,1173,3269,17,1138,1.2,62,267,50
sales-engineering,40677,17,20,20,53,94,94,133,15,645,1559,2,332,67,455,76,754,2094,15,586,1.3,43,212,25
talent,36338,2,0,2,34,45,53,74,9,757,1433,5,369,60,554,178,808,1780,9,594,1.66,47,48,13
core-q-and-a,28945,0,0,0,45,46,70,84,8,384,1054,2,302,21,285,100,450,1343,3,440,3.19,16,134,20
community,27789,10,0,10,57,53,62,84,5,324,957,2,336,28,224,117,420,1266,5,369,6.24,10,11,6
product-support,26108,1,0,1,61,73,87,116,8,462,725,9,222,31,376,116,484,1056,4,343,1.76,29,65,16
sales-process,23901,0,0,0,43,50,54,91,9,280,580,0,100,18,219,95,326,798,6,194,0.62,16,90,12
data-team-request,22260,0,0,0,34,26,46,62,0,284,706,2,434,18,165,5,298,713,4,356,165.06,0,0,0
customer-success,21863,0,0,0,57,84,81,121,10,306,740,1,157,23,210,43,383,1108,4,260,1.07,21,142,23
public-platform,18484,0,0,0,57,57,61,92,8,287,611,1,242,22,206,83,328,884,4,300,2.19,37,77,7
it-service-desk,18249,1,0,1,36,42,45,76,3,191,423,2,38,5,159,84,209,614,6,101,0.74,25,64,11
product-marketing,16373,9,0,9,40,57,52,85,3,183,479,6,117,29,108,26,223,636,4,142,1.9,33,76,31
sales,15825,0,0,0,45,61,67,104,6,233,499,0,92,23,152,54,293,702,4,218,0.77,12,34,4
community-management-team-docs,15622,7,0,7,17,22,19,28,3,194,484,1,173,7,150,112,229,530,1,158,20.72,10,14,4
teams-api,15049,2,0,2,49,41,64,79,7,222,479,0,134,23,155,12,244,619,1,247,2.59,12,68,9
development,13472,0,0,0,28,41,34,62,11,157,422,0,59,9,126,60,196,533,1,120,2.31,20,88,10
marketing,13317,0,0,0,52,38,56,90,5,182,453,3,83,12,133,48,238,629,5,159,0.68,19,53,21
product,13298,1,0,1,39,82,78,119,6,133,393,2,96,11,83,9,278,618,6,329,2.08,9,80,13
teams-sales,13254,0,0,0,40,45,49,82,10,169,326,0,79,20,115,23,190,440,2,98,1.1,31,98,52
so-advertising,12754,0,0,0,27,26,32,47,6,198,297,0,74,17,107,69,209,385,1,142,3.71,11,16,2
people-team,12480,3,0,3,38,47,43,79,8,161,445,0,53,8,129,50,180,529,5,89,1.11,15,54,8
salesforce,11557,0,0,0,36,35,41,66,5,177,306,0,50,13,134,72,189,393,2,103,1.21,10,29,0
customer-success-teams,11366,6,0,6,32,56,55,78,7,162,458,1,74,5,130,17,207,622,8,136,1.59,16,105,9
sre,10588,0,0,0,27,33,48,64,8,148,256,0,103,14,107,26,169,390,4,183,1.63,33,40,10
employee,10531,0,0,0,35,53,40,77,3,89,353,0,47,1,67,30,137,524,7,112,3.33,4,30,2
proof-of-value,10263,0,20,20,26,32,36,55,6,104,257,0,52,7,73,12,129,366,5,121,0.77,10,74,12
teams-features,10165,0,0,0,36,42,51,78,7,133,377,0,108,12,99,7,147,437,1,177,1.84,27,92,51
adoption,10050,0,42,42,23,42,42,60,6,100,484,1,66,3,66,12,144,603,2,106,2.73,14,66,4
security,9812,0,0,0,44,46,58,80,4,148,368,1,81,9,98,25,168,466,2,187,2.93,4,15,0
so-for-enterprise-on-premises,9326,0,0,0,43,43,52,76,6,129,262,3,95,10,112,24,143,385,1,135,2.08,7,27,3
moderators,9196,0,0,0,38,37,42,61,4,120,311,0,113,9,88,30,139,366,0,128,3.85,5,6,1
tags,9061,0,0,0,59,46,61,85,4,160,437,0,128,12,126,14,183,578,1,268,1.06,5,9,2
competitor,8855,1,0,1,28,34,37,56,5,74,262,0,72,4,54,9,126,475,1,81,2.94,32,107,13
slack-integration,8826,1,0,1,52,44,52,77,7,151,349,0,77,15,118,21,156,416,0,127,1.64,10,39,11
billing,8816,2,0,2,34,31,30,56,3,137,262,0,41,11,112,35,144,317,1,111,1.83,3,16,2
onboarding,8801,0,0,0,23,39,26,64,10,75,225,0,35,4,55,20,98,317,2,66,0.49,19,61,7
integrations,8711,0,0,0,36,35,46,67,6,134,282,0,80,14,102,10,148,365,2,144,3.01,7,31,13
dev-environment,8264,0,0,0,26,25,26,42,4,80,273,0,42,7,59,24,101,340,2,92,0.82,5,34,6
legal,8127,0,6,6,48,43,49,85,2,158,259,0,73,7,111,16,206,302,3,114,1.55,2,4,0
testing,8003,3,0,3,23,38,32,52,11,57,151,0,22,3,46,30,105,212,0,81,1.05,18,66,5
se-onboarding,7971,3,4,6,8,15,11,23,6,23,64,0,8,0,19,8,28,79,2,14,1.24,17,76,1
design,7898,2,0,2,27,41,40,68,9,91,256,0,63,9,70,19,129,447,5,120,1.33,22,75,13
sre-cloud,7678,0,0,0,16,18,29,38,6,58,117,0,17,2,49,13,66,192,4,81,5.02,48,67,13
search,7624,2,0,2,41,35,48,70,5,96,273,0,61,9,75,6,108,361,1,156,1.57,6,43,14
email,7563,0,0,0,46,44,51,85,5,108,284,0,93,9,86,26,120,350,0,116,2.52,6,28,7
site-settings,7436,0,0,0,31,26,36,50,1,108,242,0,76,9,83,19,127,332,1,115,3.02,1,7,1
stack-exchange,7329,0,0,0,28,50,46,71,1,91,206,0,83,3,66,30,192,333,6,208,3.08,1,6,1
sso,7011,4,0,4,33,29,36,55,4,104,205,0,39,4,86,24,122,361,3,119,0.91,5,5,2
blueshift,6910,3,0,3,21,17,32,45,9,57,167,0,22,1,52,29,59,207,1,51,0.8,31,102,12
teams-sales-enablement,6666,2,0,2,16,27,22,39,5,59,115,0,18,1,48,11,73,172,0,38,0.44,14,41,1
articles,6645,0,0,0,42,43,50,72,5,106,309,0,101,9,82,5,115,343,1,109,1.88,7,36,4
zuora,6414,2,0,2,18,20,23,35,2,102,181,0,26,7,80,31,111,215,1,93,2.09,3,8,0
looker,6344,2,0,2,27,33,35,55,5,68,201,0,51,8,51,8,79,244,1,78,0.87,7,41,8
slack,6320,1,0,1,41,45,47,74,6,94,240,0,34,4,75,29,110,336,2,82,1.27,7,26,4
microsoft-teams-integration,5859,0,0,0,36,33,35,59,5,89,226,0,40,14,64,12,84,258,0,58,1.87,6,33,8
internal-tools,5832,0,0,0,19,26,27,47,2,57,181,0,41,3,39,12,71,215,1,39,2.94,2,1,0
data,5694,0,0,0,34,38,41,78,7,101,190,1,66,8,69,23,105,266,5,99,2.36,9,29,3
metrics-dashboard,5687,0,0,0,31,33,41,60,6,80,236,0,68,9,60,0,88,232,0,68,2.41,6,31,4
benefits,5662,2,0,2,21,32,27,48,2,76,205,0,29,2,65,21,94,259,2,47,0.5,2,2,0
info-sec,5606,1,0,1,29,36,39,62,3,96,186,0,60,5,73,10,112,225,0,99,3.16,3,12,0
stack-overflow,5590,0,0,0,40,46,29,74,3,81,205,0,31,4,59,10,119,288,5,71,1.74,4,14,1
ux-research,5420,1,0,1,14,25,21,41,6,46,116,0,11,0,41,20,65,272,2,55,0.71,23,86,14
user-management,5351,0,0,0,32,32,38,57,3,77,181,1,53,7,62,9,87,255,1,83,1.28,3,2,0
new-hire-it-service-desk,5228,0,0,0,3,5,6,8,1,7,27,0,4,0,6,6,10,42,0,2,69.72,2,35,5
advertising,5170,0,0,0,22,16,19,34,5,77,160,1,31,5,41,21,80,197,1,69,1.51,12,7,0
collectives-on-so,5033,0,0,0,22,17,18,39,12,31,40,0,14,1,29,14,35,74,0,24,1.1,29,64,16
data-insights,4948,0,0,0,26,38,44,68,5,66,165,1,32,10,42,13,75,162,4,66,2.0,8,14,0
amplitude,4812,2,2,2,27,32,34,51,1,74,183,0,36,9,52,11,85,201,2,52,2.12,1,4,0
so-internal,4794,1,0,1,20,31,32,56,3,61,216,0,53,7,46,3,69,268,4,84,0.35,3,21,8
communication,4766,0,0,0,21,27,15,39,2,49,180,0,22,3,31,25,58,224,1,38,6.15,4,23,3
reputation,4653,1,0,1,25,33,41,56,3,72,195,0,58,2,58,4,91,302,0,109,1.08,3,20,4
security-questionnaire,4503,0,0,0,12,17,25,34,1,64,110,1,31,5,38,7,66,170,2,73,11.19,1,8,0
remote,4462,0,0,0,16,23,22,40,2,29,112,0,18,3,22,6,47,195,1,44,0.79,2,17,3
talent-sales,4342,0,0,0,8,16,15,26,5,70,157,1,43,7,42,17,72,150,1,32,2.8,6,8,6
engineering,4327,0,0,0,25,35,32,58,6,54,141,0,40,5,36,9,70,206,2,60,3.04,8,38,4
dev-local-setup,4305,0,0,0,24,27,27,42,4,59,154,0,38,5,46,20,73,170,2,56,1.64,6,22,6
innovation-day-2023,4303,0,0,0,15,2,10,40,24,30,80,1,10,15,13,12,16,27,0,6,10.01,34,132,28
github,4268,0,0,0,24,25,28,49,3,60,139,0,33,6,48,21,61,171,1,64,1.25,5,14,0
new-hire,4266,0,0,0,19,25,20,45,2,36,95,0,12,2,30,14,45,158,0,29,0.99,4,21,2
company,4193,0,0,0,14,20,17,33,2,37,158,1,19,1,29,8,47,187,1,28,6.31,2,11,1
api,4175,0,0,0,26,23,31,52,4,62,115,0,36,7,36,7,68,147,0,67,0.58,4,18,1
devx,4120,0,0,0,13,8,9,21,5,25,49,0,2,0,20,9,30,59,1,17,0.27,21,65,8
teams-demo,4024,0,0,0,12,16,16,27,1,17,50,0,7,2,14,5,23,57,1,17,0.52,2,21,0
azure,3931,0,0,0,21,24,23,44,8,64,110,1,13,2,55,29,66,163,0,40,3.35,12,22,6
users,3913,0,0,0,34,35,37,64,3,66,140,0,54,5,47,12,75,211,1,49,2.46,3,6,1
sales-objections,3798,0,0,0,7,18,21,30,0,32,127,0,36,1,23,5,60,245,2,49,1.32,0,0,0
