Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Sme Answers,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
so-for-teams,190547,7,0,7,153,164,179,231,62,2303,6124,14,1481,156,1798,330,2732,133,8093,43,2562,1.18,259,1120,201
so-for-teams-enterprise,186971,5,0,5,127,132,156,194,35,2373,6162,14,1514,174,1838,313,2789,517,8420,37,2885,1.56,147,556,76
so-for-teams-business,77096,2,0,2,84,105,115,152,28,1006,2508,6,646,74,784,104,1186,45,3313,16,1150,1.2,64,272,50
sales-engineering,42838,16,19,19,50,92,94,131,15,674,1620,2,353,68,475,82,788,390,2177,16,594,1.29,46,222,27
talent,36425,2,0,2,34,43,52,72,9,757,1433,5,369,60,554,178,808,140,1780,9,594,1.66,47,48,13
core-q-and-a,28862,0,0,0,46,46,70,85,8,383,1050,2,302,21,284,99,451,0,1347,3,442,3.19,16,134,20
community,28439,10,0,10,58,52,62,84,6,327,962,2,343,28,229,118,423,148,1270,5,369,6.26,14,17,6
product-support,26831,1,0,1,62,73,87,117,8,469,745,9,233,31,381,116,494,157,1074,4,347,1.78,30,67,16
sales-process,24276,0,0,0,44,48,53,90,9,282,584,0,100,19,220,96,327,0,800,6,194,0.62,16,92,12
customer-success,22577,0,0,0,56,83,80,118,10,314,764,1,159,27,212,42,395,0,1145,5,264,1.07,21,148,24
data-team-request,22347,0,0,0,33,25,45,61,0,284,706,2,433,18,165,5,298,0,713,4,356,165.06,0,0,0
public-platform,19205,0,0,0,57,57,61,91,7,294,628,1,247,23,212,84,335,0,906,4,305,1.79,37,77,7
it-service-desk,18419,1,0,1,35,40,43,75,3,192,426,2,38,5,160,84,210,74,616,6,102,0.7,25,64,11
product-marketing,16749,8,0,8,39,57,51,85,4,187,488,6,119,29,110,26,229,33,641,4,145,1.9,34,79,31
sales,16124,0,0,0,44,58,66,102,6,233,504,0,92,22,152,55,294,0,708,5,221,0.79,15,41,6
community-management-team-docs,16071,7,0,7,17,22,19,28,3,195,485,1,175,7,153,113,230,116,532,1,157,20.72,12,18,4
teams-api,15767,2,0,2,48,42,64,81,7,233,492,0,145,24,160,12,259,14,655,1,260,2.19,12,69,9
product,13739,1,0,1,38,80,78,117,6,137,405,2,104,11,87,9,283,4,635,6,333,1.93,9,80,13
development,13647,0,0,0,26,39,35,61,11,157,422,0,60,9,126,60,196,0,536,1,121,2.31,21,88,11
teams-sales,13624,0,0,0,39,43,48,80,9,169,328,0,78,19,116,23,191,0,442,2,98,1.13,34,105,54
marketing,13497,0,0,0,52,38,56,90,5,183,456,3,83,11,135,48,240,0,632,5,163,0.68,19,53,21
so-advertising,12944,0,0,0,25,25,31,45,6,199,297,0,71,17,107,69,211,0,384,1,142,3.6,11,16,2
people-team,12730,3,0,3,37,46,41,77,8,162,444,0,53,8,129,50,181,7,529,5,90,1.19,15,55,8
customer-success-teams,12209,6,0,6,33,56,57,78,8,170,492,1,75,5,135,18,217,34,678,8,148,1.75,17,110,10
salesforce,11684,0,0,0,36,35,39,64,6,177,308,0,50,13,134,72,189,0,392,2,103,1.21,11,29,0
sre,10874,0,0,0,29,33,46,63,8,152,260,0,105,15,109,26,172,0,398,3,185,1.68,33,40,10
employee,10727,0,0,0,35,51,42,76,3,90,352,0,47,1,67,30,138,0,524,7,114,2.35,4,30,2
teams-features,10589,0,0,0,36,41,50,77,7,136,382,0,110,12,102,8,150,0,448,1,179,2.03,27,92,54
proof-of-value,10476,0,19,19,24,31,35,52,6,104,258,0,52,7,73,12,129,42,367,5,122,0.77,10,77,12
adoption,10298,0,41,41,22,41,42,60,6,101,491,1,68,3,67,12,147,80,623,2,111,2.8,14,67,4
security,10006,0,0,0,41,44,56,77,4,149,370,1,82,10,98,25,168,0,466,2,187,2.93,4,15,0
so-for-enterprise-on-premises,9579,0,0,0,42,41,52,75,6,131,263,3,98,10,114,25,146,0,385,1,137,2.06,7,27,3
moderators,9408,0,0,0,36,37,40,60,4,121,319,0,113,8,88,31,143,0,378,0,130,3.41,6,6,1
tags,9347,0,0,0,57,46,62,85,4,163,444,0,132,13,128,14,188,0,597,1,271,1.06,5,10,2
competitor,9125,1,0,1,28,32,37,55,5,75,263,0,73,5,54,9,126,16,475,1,81,2.94,32,107,13
slack-integration,8963,1,0,1,49,40,51,73,6,152,354,0,80,16,118,21,156,19,416,0,127,1.64,10,39,11
billing,8932,2,0,2,34,30,31,56,2,139,264,0,41,11,114,35,146,4,322,1,113,2.09,3,16,2
onboarding,8928,0,0,0,24,38,25,63,9,75,229,0,35,4,55,20,98,0,319,2,66,0.49,20,62,5
integrations,8883,0,0,0,35,35,45,66,5,137,289,0,80,15,104,10,150,0,370,2,151,3.01,7,31,13
dev-environment,8409,0,0,0,27,25,26,42,4,81,273,0,42,7,60,24,102,0,341,2,92,0.86,5,34,6
legal,8379,0,6,6,48,40,48,83,2,160,264,0,73,7,114,18,208,37,307,3,116,1.55,2,6,0
se-onboarding,8253,3,4,6,9,13,11,22,6,25,69,0,8,0,21,9,30,13,84,2,14,1.12,17,77,1
testing,8172,3,0,3,22,36,33,51,11,59,154,0,23,3,48,32,107,15,217,0,82,1.05,18,67,5
search,8098,2,0,2,45,36,48,74,6,102,301,0,62,10,80,7,115,20,399,1,161,1.47,7,46,14
design,8020,2,0,2,26,41,40,67,9,91,257,0,64,9,70,19,129,8,448,5,125,1.33,22,75,13
sre-cloud,7921,0,0,0,16,18,29,38,6,60,119,0,19,2,51,13,68,0,197,4,85,5.02,48,67,13
email,7653,0,0,0,46,44,50,84,5,108,285,0,93,9,86,26,120,0,350,0,116,2.52,6,28,7
