Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Sme Answers,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
machine-learning,551226,13,23,30,954,751,983,1744,2,1354,3792,138,1898,223,516,21,1915,4,4421,99,1947,7.46,2,4,0
python,330330,9,27,34,407,422,479,861,2,625,1282,75,651,131,261,37,790,9,1663,34,707,6.66,2,6,1
r,257861,3,4,7,303,381,419,749,0,443,989,71,664,75,175,1,624,2,1210,40,609,8.5,0,0,0
data-mining,206484,6,4,8,309,343,396,721,1,380,1069,60,524,58,124,1,574,0,1328,38,515,7.01,1,0,0
neuralnetwork,159522,2,7,8,291,243,354,578,1,423,1154,7,602,84,171,1,488,1,1182,30,621,7.22,1,3,0
bigdata,143893,2,7,9,185,233,259,483,0,214,734,66,368,37,85,0,369,2,1101,14,309,6.02,0,0,0
classification,140153,3,0,3,337,314,403,687,2,435,1076,32,580,62,178,3,604,7,1090,18,606,8.92,2,5,0
clustering,122033,2,1,3,214,194,255,457,1,256,684,55,426,45,80,0,354,1,687,29,351,8.41,1,0,0
dataset,107681,1,27,27,192,238,241,467,0,223,643,35,344,38,89,1,346,2,988,13,297,6.66,0,0,0
statistics,104498,3,0,3,175,189,216,404,0,188,555,27,287,33,79,1,272,1,707,5,199,7.62,0,0,0
nlp,80328,1,0,1,167,162,201,354,0,220,650,22,280,43,67,2,294,2,638,12,251,17.33,0,0,0
k-means,72489,1,0,1,64,70,101,176,0,82,264,16,133,13,29,0,111,1,276,11,107,5.54,0,0,0
algorithms,72071,2,0,2,118,140,156,295,0,131,438,16,194,21,48,0,195,0,464,10,200,7.83,0,0,0
text-mining,69829,1,0,1,144,159,198,324,0,172,538,22,261,21,56,0,238,0,588,11,241,13.39,0,0,0
apache-spark,69293,0,0,0,77,81,101,170,0,101,189,8,117,15,48,0,124,0,216,3,130,11.52,0,0,0
scikit,67375,0,0,0,94,101,130,228,0,112,276,12,130,8,46,0,153,0,332,9,170,8.87,0,0,0
apache-hadoop,63063,0,0,0,54,79,65,150,0,70,232,14,80,11,32,0,112,0,304,2,74,8.95,0,0,0
deep-learning,59353,3,0,3,142,122,163,287,0,201,476,6,275,54,72,2,222,0,542,14,208,6.78,0,0,0
predictive-modeling,56301,3,0,3,203,207,277,471,0,253,483,15,380,41,94,0,337,0,534,12,312,9.55,0,0,0
categorical-data,55211,0,0,0,48,69,86,142,0,55,167,2,82,4,17,0,91,0,198,11,111,6.21,0,0,0
feature-selection,48185,1,0,1,98,135,134,260,0,115,377,7,162,18,47,0,181,0,486,11,149,5.61,0,0,0
tools,47613,0,0,0,27,62,64,113,1,33,195,11,74,5,22,1,75,0,373,6,89,8.17,1,0,0
visualization,46205,2,0,2,101,125,154,258,0,120,360,22,187,19,57,1,185,0,472,11,174,9.93,0,0,0
pandas,46073,0,0,0,58,86,69,148,0,81,155,6,74,12,45,1,112,0,194,4,96,3.0,0,0,0
random-forest,42264,1,0,1,77,93,116,200,0,110,259,2,159,19,42,4,135,0,322,8,107,7.75,0,0,0
correlation,40996,0,0,0,53,64,81,137,0,57,134,3,72,10,24,0,75,0,125,3,80,11.5,0,0,0
