Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Sme Answers,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
so-for-teams,192887,7,0,7,153,164,177,231,62,2324,6193,14,1504,162,1809,334,2754,133,8168,44,2588,1.18,261,1133,207
so-for-teams-enterprise,188839,5,0,5,126,135,154,194,35,2392,6214,14,1532,176,1849,316,2814,518,8488,38,2901,1.55,147,559,77
so-for-teams-business,77880,2,0,2,84,107,114,151,28,1013,2528,6,656,75,789,104,1195,45,3339,17,1156,1.2,64,276,50
sales-engineering,43813,16,19,19,49,94,95,132,16,688,1648,2,359,69,480,84,805,401,2225,16,616,1.29,48,236,27
talent,36476,2,0,2,33,43,52,72,9,757,1433,5,369,60,554,178,808,140,1780,9,595,1.66,47,48,13
core-q-and-a,29022,0,0,0,45,46,69,84,8,383,1051,2,302,21,284,98,450,0,1346,2,437,3.19,16,134,20
community,28924,14,14,14,57,52,61,83,7,328,967,2,344,29,229,117,422,149,1268,4,369,6.45,15,24,8
product-support,27058,1,0,1,62,73,86,117,8,472,752,9,234,31,384,117,498,159,1082,5,348,1.74,31,68,16
sales-process,24404,0,0,0,43,48,51,87,9,282,586,0,100,19,220,96,326,0,799,5,192,0.66,16,92,12
customer-success,22830,0,0,0,55,84,79,116,10,315,768,1,160,27,212,42,397,0,1149,4,267,1.11,21,148,24
data-team-request,22359,0,0,0,33,25,45,61,0,284,706,2,432,18,165,5,298,0,713,4,356,165.06,0,0,0
public-platform,19410,0,0,0,57,57,61,91,7,295,630,1,249,23,213,84,336,0,911,4,310,1.76,41,78,9
it-service-desk,18555,1,0,1,34,42,44,75,3,194,431,2,39,5,161,84,213,74,621,6,102,0.78,25,64,11
product-marketing,16864,8,0,8,38,57,51,84,4,188,492,6,119,29,111,26,230,33,645,4,146,1.8,34,79,31
sales,16247,0,0,0,42,58,64,99,6,234,506,0,92,23,152,55,293,0,705,4,218,0.8,15,41,6
community-management-team-docs,16215,12,0,12,17,22,19,28,4,196,486,1,177,7,154,112,230,124,533,0,163,20.72,13,18,5
teams-api,15977,2,0,2,47,42,64,80,7,236,493,0,150,24,161,13,263,14,657,1,262,2.19,12,73,9
product,13835,1,0,1,37,81,77,117,6,138,405,2,102,11,88,9,284,4,638,6,340,1.94,9,80,13
development,13744,0,0,0,26,39,35,61,11,157,422,0,60,9,126,60,196,0,536,1,121,2.31,21,91,11
teams-sales,13742,0,0,0,38,42,47,78,9,170,331,0,78,19,117,23,192,0,446,2,99,1.14,34,105,54
marketing,13566,0,0,0,50,38,55,88,5,183,456,3,83,11,135,48,240,0,632,5,163,0.68,19,53,21
so-advertising,12994,0,0,0,25,25,31,45,6,199,297,0,71,17,107,69,211,0,384,1,142,3.6,11,16,2
people-team,12811,3,0,3,35,46,41,75,8,162,445,0,53,8,129,50,181,7,530,5,90,1.19,15,55,8
customer-success-teams,12549,6,0,6,34,56,57,79,8,173,500,1,76,5,135,18,223,35,692,8,150,1.74,17,110,10
salesforce,11732,0,0,0,36,36,39,64,6,178,309,0,50,13,135,73,190,0,393,2,103,1.21,11,29,0
sre,11003,0,0,0,29,34,47,63,8,153,262,0,105,15,109,26,174,0,399,3,188,1.63,33,40,10
employee,10780,0,0,0,35,51,42,76,3,90,352,0,47,1,67,30,138,0,524,7,114,2.35,4,30,2
