tag,total_page_views,individual_smes,group_smes,total_unique_smes,unique_askers,unique_answerers,unique_commenters,unique_contributors,unique_article_contributors,question_count,question_upvotes,question_downvotes,question_comments,questions_no_answers,questions_accepted_answer,answer_count,answer_upvotes,answer_downvotes,answer_comments,article_count,article_upvotes,article_comments
machine-learning,591472,10,24,31,953,754,994,1752,1,1352,3876,141,1923,221,514,1938,4672,100,2005,1,1,0
python,370669,10,27,34,404,430,486,870,2,622,1375,78,670,127,262,805,1856,35,727,2,6,1
r,257809,5,7,11,303,381,420,749,0,443,988,71,669,74,174,625,1219,40,616,0,0,0
data-mining,206438,7,4,8,308,344,398,721,1,380,1068,60,533,58,126,578,1375,38,521,1,0,0
neuralnetwork,199975,2,7,8,292,250,363,589,0,424,1247,10,621,84,171,503,1387,31,640,0,0,0
bigdata,143826,2,7,9,185,234,261,485,0,214,731,66,374,37,87,373,1130,14,311,0,0,0
classification,140068,2,0,2,337,315,409,688,1,435,1076,32,584,60,178,611,1129,18,644,1,2,0
clustering,122005,2,1,3,213,195,256,457,1,256,684,55,436,45,82,356,695,29,353,1,0,0
dataset,107600,1,27,27,191,238,243,467,0,223,641,35,345,38,89,348,991,13,300,0,0,0
statistics,104482,3,0,3,175,189,217,405,0,188,554,27,291,33,79,272,707,5,199,0,0,0
nlp,80310,1,0,1,166,163,203,355,0,220,650,22,285,43,66,298,673,12,268,0,0,0
k-means,72466,1,0,1,63,70,101,175,0,82,264,16,133,13,29,111,276,11,107,0,0,0
algorithms,72292,2,0,2,118,141,158,295,0,132,455,16,194,20,49,199,482,10,203,0,0,0
text-mining,69821,1,0,1,144,160,201,326,0,172,537,22,264,21,57,243,617,11,264,0,0,0
apache-spark,69260,0,0,0,77,82,102,171,0,101,189,8,117,14,48,125,225,3,131,0,0,0
scikit,67369,0,0,0,94,101,131,229,0,112,276,12,134,8,46,153,332,9,170,0,0,0
apache-hadoop,63058,0,0,0,54,80,67,152,0,70,231,14,86,11,32,114,322,2,79,0,0,0
deep-learning,59346,3,0,3,142,123,164,288,0,201,476,6,280,54,72,223,561,14,210,0,0,0
predictive-modeling,56288,3,0,3,203,207,278,472,0,253,483,15,381,41,93,337,534,12,312,0,0,0
categorical-data,55195,0,0,0,48,69,86,141,0,55,167,2,82,4,17,91,198,11,111,0,0,0
feature-selection,48178,1,0,1,97,136,135,260,0,115,377,7,162,18,47,182,493,11,152,0,0,0
tools,47928,0,0,0,26,62,65,113,1,34,196,12,81,5,21,75,376,6,89,1,0,0
visualization,46198,2,0,2,101,125,154,258,0,120,360,22,187,19,57,185,472,11,174,0,0,0
pandas,46056,0,0,0,58,86,69,148,0,81,155,6,74,12,45,112,192,4,96,0,0,0
random-forest,42259,1,0,1,77,93,116,200,0,110,259,2,159,19,42,135,322,8,107,0,0,0
correlation,40993,0,0,0,53,65,82,138,0,57,134,3,73,10,25,76,130,3,82,0,0,0
convnet,39845,0,0,0,46,57,57,113,0,64,205,1,57,14,26,78,217,2,98,0,0,0
octave,39810,0,0,0,5,11,21,26,0,6,65,1,18,1,2,13,75,5,22,0,0,0
recommendation,39336,0,0,0,65,75,83,152,0,78,263,3,91,12,25,109,261,3,97,0,0,0
decision-trees,38424,2,0,2,74,81,84,177,1,85,148,6,94,18,37,107,200,5,77,1,2,3
svm,38187,0,0,0,70,78,107,176,0,91,318,3,121,13,41,118,355,6,135,0,0,0
sklearn,37773,0,0,0,90,89,104,188,0,103,174,14,120,13,40,123,189,1,126,0,0,0
